               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 123,            0.031098,             0.03711,           0.0023528,             0.72876,             0.77521,             0.81199,             0.50142,            0.035835,            0.024513,           0.0042143,            0.007987,            0.007987,            0.007987
                 124,            0.030539,            0.036098,           0.0023054,             0.77554,             0.82981,             0.84609,             0.53984,            0.033666,            0.022739,           0.0042701,           0.0079705,           0.0079705,           0.0079705
                 125,            0.030576,             0.03451,           0.0022076,             0.74203,             0.79984,             0.81751,             0.49147,            0.036335,            0.024525,           0.0056233,            0.007954,            0.007954,            0.007954
                 126,            0.032307,            0.036245,           0.0028976,             0.67046,             0.49564,             0.57659,             0.31631,            0.047283,            0.036644,              0.0102,           0.0079375,           0.0079375,           0.0079375
                 127,            0.030958,             0.03652,           0.0019779,             0.74802,             0.73807,              0.7965,              0.4697,            0.035718,             0.02627,            0.005692,            0.007921,            0.007921,            0.007921
                 128,            0.031046,            0.036746,           0.0019584,             0.75076,             0.80488,             0.83171,             0.50262,            0.033936,            0.024393,           0.0046577,           0.0079045,           0.0079045,           0.0079045
                 129,            0.029814,            0.038463,           0.0018164,             0.77734,             0.75389,             0.85284,             0.54073,            0.033581,            0.023214,           0.0042143,            0.007888,            0.007888,            0.007888
                 130,            0.029791,             0.03669,            0.002404,             0.77457,             0.82043,             0.84726,             0.53092,            0.032348,            0.023071,           0.0047464,           0.0078715,           0.0078715,           0.0078715
                 131,            0.030429,            0.034755,           0.0021109,             0.73665,             0.64846,             0.75807,             0.43778,            0.037076,            0.025623,            0.012096,            0.007855,            0.007855,            0.007855
                 132,            0.030368,            0.035306,           0.0019738,             0.73701,             0.75194,             0.80658,             0.49736,            0.035171,            0.024153,           0.0058866,           0.0078385,           0.0078385,           0.0078385
                 133,            0.031192,            0.036578,           0.0018478,             0.73888,              0.7605,             0.82823,              0.5208,            0.034757,            0.022825,           0.0041742,            0.007822,            0.007822,            0.007822
                 134,            0.030289,            0.034408,           0.0017654,               0.746,             0.81308,              0.8447,             0.53422,            0.032524,            0.023277,           0.0044718,           0.0078055,           0.0078055,           0.0078055
                 135,            0.030505,            0.036406,           0.0023277,             0.78119,             0.82033,             0.85728,             0.54744,            0.031841,            0.023346,           0.0048852,            0.007789,            0.007789,            0.007789
                 136,            0.030209,            0.035175,           0.0028242,             0.78322,             0.83405,             0.85988,             0.53755,            0.032385,            0.022774,           0.0046978,           0.0077725,           0.0077725,           0.0077725
                 137,            0.030378,            0.035456,           0.0020313,             0.83483,             0.76717,             0.85582,              0.5423,            0.033576,            0.023506,           0.0046163,            0.007756,            0.007756,            0.007756
                 138,            0.031191,            0.034431,           0.0018728,             0.67032,             0.59226,             0.66033,             0.39272,             0.03961,            0.031569,            0.010145,           0.0077395,           0.0077395,           0.0077395
